cloud_provider,cloud_region,country_iso_code,country_name,cpu_count,cpu_energy,cpu_model,cpu_power,duration,emissions,emissions_rate,energy_consumed,gpu_count,gpu_energy,gpu_model,gpu_power,latitude,longitude,on_cloud,os,project_name,python_version,ram_energy,ram_power,ram_total_size,region,run_id,timestamp,tracking_mode
gcp,europe-west1,BEL,Belgium,8,-0.0021531659694758267,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,8.423376553386582,29889.11426019669,0.00907515475430929,0.00030362742352638627,0.07035345809920375,,0,,0.0,,,Y,Linux-4.15.0-144-generic-x86_64-with-debian-stretch-sid,"fMRIPrep proc, n_scans =300",3.7.1,0.07250662406867961,8.734271049499513,23.29138946533203,europe-west1,eb31b0bf-8fdc-4662-835c-448984d64b64,2022-06-13T06:09:03,machine
gcp,europe-west1,BEL,Belgium,8,-0.0021531659694758267,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,8.423376553386582,29889.11426019669,0.00907515475430929,0.00030362742352638627,0.07035345809920375,,0,,0.0,,,Y,Linux-4.15.0-144-generic-x86_64-with-debian-stretch-sid,"fMRIPrep proc, n_scans =300",3.7.1,0.07250662406867961,8.734271049499513,23.29138946533203,europe-west1,eb31b0bf-8fdc-4662-835c-448984d64b64,2022-06-13T06:09:03,machine
gcp,europe-west1,BEL,Belgium,8,-0.0021531659694758267,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,8.423376553386582,29889.11426019669,0.00907515475430929,0.00030362742352638627,0.07035345809920375,,0,,0.0,,,Y,Linux-4.15.0-144-generic-x86_64-with-debian-stretch-sid,"fMRIPrep proc, n_scans =300",3.7.1,0.07250662406867961,8.734271049499513,23.29138946533203,europe-west1,eb31b0bf-8fdc-4662-835c-448984d64b64,2022-06-13T06:09:03,machine
gcp,europe-west1,BEL,Belgium,8,-0.0021531659694758267,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,8.423376553386582,29889.11426019669,0.00907515475430929,0.00030362742352638627,0.07035345809920375,,0,,0.0,,,Y,Linux-4.15.0-144-generic-x86_64-with-debian-stretch-sid,"fMRIPrep proc, n_scans =300",3.7.1,0.07250662406867961,8.734271049499513,23.29138946533203,europe-west1,eb31b0bf-8fdc-4662-835c-448984d64b64,2022-06-13T06:09:03,machine
gcp,europe-west1,BEL,Belgium,8,-0.0021531659694758267,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,8.423376553386582,29889.11426019669,0.00907515475430929,0.00030362742352638627,0.07035345809920375,,0,,0.0,,,Y,Linux-4.15.0-144-generic-x86_64-with-debian-stretch-sid,"fMRIPrep proc, n_scans =300",3.7.1,0.07250662406867961,8.734271049499513,23.29138946533203,europe-west1,eb31b0bf-8fdc-4662-835c-448984d64b64,2022-06-13T06:09:03,machine
gcp,europe-west1,BEL,Belgium,8,-0.0021531659694758267,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,8.423376553386582,29889.11426019669,0.00907515475430929,0.00030362742352638627,0.07035345809920375,,0,,0.0,,,Y,Linux-4.15.0-144-generic-x86_64-with-debian-stretch-sid,"fMRIPrep proc, n_scans =300",3.7.1,0.07250662406867961,8.734271049499513,23.29138946533203,europe-west1,eb31b0bf-8fdc-4662-835c-448984d64b64,2022-06-13T06:09:03,machine
gcp,europe-west1,BEL,Belgium,8,-0.0021531659694758267,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,8.423376553386582,29889.11426019669,0.00907515475430929,0.00030362742352638627,0.07035345809920375,,0,,0.0,,,Y,Linux-4.15.0-144-generic-x86_64-with-debian-stretch-sid,"fMRIPrep proc, n_scans =300",3.7.1,0.07250662406867961,8.734271049499513,23.29138946533203,europe-west1,eb31b0bf-8fdc-4662-835c-448984d64b64,2022-06-13T06:09:03,machine
gcp,europe-west1,BEL,Belgium,8,-0.0021531659694758267,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,8.423376553386582,29889.11426019669,0.00907515475430929,0.00030362742352638627,0.07035345809920375,,0,,0.0,,,Y,Linux-4.15.0-144-generic-x86_64-with-debian-stretch-sid,"fMRIPrep proc, n_scans =300",3.7.1,0.07250662406867961,8.734271049499513,23.29138946533203,europe-west1,eb31b0bf-8fdc-4662-835c-448984d64b64,2022-06-13T06:09:03,machine
gcp,europe-west1,BEL,Belgium,8,-0.0021531659694758267,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,8.423376553386582,29889.11426019669,0.00907515475430929,0.00030362742352638627,0.07035345809920375,,0,,0.0,,,Y,Linux-4.15.0-144-generic-x86_64-with-debian-stretch-sid,"fMRIPrep proc, n_scans =300",3.7.1,0.07250662406867961,8.734271049499513,23.29138946533203,europe-west1,eb31b0bf-8fdc-4662-835c-448984d64b64,2022-06-13T06:09:03,machine
gcp,europe-west1,BEL,Belgium,8,-0.0021531659694758267,Intel(R) Core(TM) i7-8650U CPU @ 1.90GHz,8.423376553386582,29889.11426019669,0.00907515475430929,0.00030362742352638627,0.07035345809920375,,0,,0.0,,,Y,Linux-4.15.0-144-generic-x86_64-with-debian-stretch-sid,"fMRIPrep proc, n_scans =300",3.7.1,0.07250662406867961,8.734271049499513,23.29138946533203,europe-west1,eb31b0bf-8fdc-4662-835c-448984d64b64,2022-06-13T06:09:03,machine
